PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
587,587,avahi-daemon,0.0.0.0,192.168.68.122,5353,5353,avahi-daemon,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
587,587,avahi-daemon,0.0.0.0,192.168.68.122,5353,5353,avahi-daemon,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
12878,15611,UdpSocket,0.0.0.0,66.22.243.19,34701,50007,Discord,UDP
